"sub","pred","obj"
"http://vi.dbpedia.org/resource/%C4%90%C3%A0i_Ph%C3%A1t_thanh_%E2%80%93_Truy%E1%BB%81n_h%C3%ACnh_H%C3%A0_N%E1%BB%99i","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Hanoi_Radio_Television"
"http://vi.dbpedia.org/resource/%C4%90%C3%A0ng_Ngo%C3%A0i","http://www.w3.org/2000/01/rdf-schema#label","Đàng Ngoài"
"http://vi.dbpedia.org/resource/%C4%90%C3%A0ng_Ngo%C3%A0i","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/%C4%90%C3%A0ng_Ngo%C3%A0i"
"http://vi.dbpedia.org/resource/%C4%90%C3%A0ng_Trong","http://www.w3.org/2000/01/rdf-schema#label","Đàng Trong"
"http://vi.dbpedia.org/resource/%C4%90%C3%A0ng_Trong","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/%C4%90%C3%A0ng_Trong"
"http://vi.dbpedia.org/resource/%C4%90%C3%A1nh_gi%C3%A1_ng%C6%B0%E1%BB%9Di_Vi%E1%BB%87t_Nam","http://www.w3.org/2000/01/rdf-schema#label","Đánh giá người Việt Nam"
"http://vi.dbpedia.org/resource/%C4%90%C3%B4_h%E1%BB%99_ph%E1%BB%A7","http://www.w3.org/2000/01/rdf-schema#label","Đô hộ phủ"
"http://vi.dbpedia.org/resource/%C4%90%C3%B4_h%E1%BB%99_ph%E1%BB%A7","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Protectorate_%28imperial_China%29"
"http://vi.dbpedia.org/resource/%C4%90%C3%B4ng_D%C6%B0%C6%A1ng_C%E1%BB%99ng_s%E1%BA%A3n_%C4%90%E1%BA%A3ng","http://www.w3.org/2000/01/rdf-schema#label","Đông Dương Cộng sản Đảng"
"http://vi.dbpedia.org/resource/%C4%90%C3%B4ng_D%C6%B0%C6%A1ng_C%E1%BB%99ng_s%E1%BA%A3n_%C4%90%E1%BA%A3ng","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Communist_Party_of_Indochina"
"http://vi.dbpedia.org/resource/%C4%90%C3%B4ng_T%C3%A2y_Promotion","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Company"
"http://vi.dbpedia.org/resource/%C4%90%C3%B4ng_T%C3%A2y_Promotion","http://www.w3.org/2000/01/rdf-schema#label","Đông Tây Promotion"
"http://vi.dbpedia.org/resource/%C4%90%C6%B0%E1%BB%9Dng_s%E1%BA%AFt_Vi%E1%BB%87t_Nam","http://www.w3.org/2000/01/rdf-schema#label","Đường sắt Việt Nam"
"http://vi.dbpedia.org/resource/%C4%90%C6%B0%E1%BB%9Dng_s%E1%BA%AFt_Vi%E1%BB%87t_Nam","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Rail_transport_in_Vietnam"
"http://vi.dbpedia.org/resource/%C4%90%E1%BA%A1i_Vi%E1%BB%87t","http://www.w3.org/2000/01/rdf-schema#label","Đại Việt"
"http://vi.dbpedia.org/resource/%C4%90%E1%BA%A1i_Vi%E1%BB%87t","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/%C4%90%E1%BA%A1i_Vi%E1%BB%87t"
"http://vi.dbpedia.org/resource/%C4%90%E1%BA%A1i_Vi%E1%BB%87t_l%E1%BB%8Bch_tri%E1%BB%81u_%C4%91%C4%83ng_khoa_l%E1%BB%A5c","http://www.w3.org/2000/01/rdf-schema#label","Đại Việt lịch triều đăng khoa lục"
"http://vi.dbpedia.org/resource/%C4%90%E1%BA%B7ng_H%E1%BB%AFu","http://www.w3.org/2000/01/rdf-schema#label","Đặng Hữu"
"http://vi.dbpedia.org/resource/%C4%90%E1%BA%BF_hi%E1%BB%87u","http://www.w3.org/2000/01/rdf-schema#label","Đế hiệu"
"http://vi.dbpedia.org/resource/%C4%90%E1%BB%81_S%E1%BA%B7t","http://www.w3.org/2000/01/rdf-schema#label","Đề Sặt"
"http://vi.dbpedia.org/resource/%C4%90%E1%BB%97_Huy_C%E1%BA%A3nh","http://www.w3.org/2000/01/rdf-schema#label","Đỗ Huy Cảnh"
"http://vi.dbpedia.org/resource/%C4%90inh_Ki%E1%BA%BFn","http://www.w3.org/2000/01/rdf-schema#label","Đinh Kiến"
"http://vi.dbpedia.org/resource/%C4%90inh_Nga","http://www.w3.org/2000/01/rdf-schema#label","Đinh Nga"
"http://vi.dbpedia.org/resource/%C4%90inh_Ti%E1%BA%BFn_D%C5%A9ng","http://www.w3.org/2000/01/rdf-schema#label","Đinh Tiến Dũng"
"http://vi.dbpedia.org/resource/%C4%90o%C3%A0n_Ki%E1%BB%83m_%C4%90i%E1%BB%83m","http://www.w3.org/2000/01/rdf-schema#label","Đoàn Kiểm Điểm"
"http://vi.dbpedia.org/resource/%C4%90o%C3%A0n_c%E1%BB%91_v%E1%BA%A5n_qu%C3%A2n_s%E1%BB%B1_Li%C3%AAn_X%C3%B4_t%E1%BA%A1i_Vi%E1%BB%87t_Nam","http://www.w3.org/2000/01/rdf-schema#label","Đoàn cố vấn quân sự Liên Xô tại Việt Nam"
"http://vi.dbpedia.org/resource/12_s%E1%BB%A9_qu%C3%A2n","http://www.w3.org/2000/01/rdf-schema#label","12 sứ quân"
"http://vi.dbpedia.org/resource/Anh_h%C3%B9ng_d%C3%A2n_t%E1%BB%99c_Vi%E1%BB%87t_Nam","http://www.w3.org/2000/01/rdf-schema#label","Anh hùng dân tộc Việt Nam"
"http://vi.dbpedia.org/resource/Anh_h%C3%B9ng_d%C3%A2n_t%E1%BB%99c_Vi%E1%BB%87t_Nam","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Vietnamese_National_Heroes"
"http://vi.dbpedia.org/resource/B%C3%A1ch_Vi%E1%BB%87t","http://www.w3.org/2000/01/rdf-schema#label","Bách Việt"
"http://vi.dbpedia.org/resource/B%C3%A1ch_Vi%E1%BB%87t","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Baiyue"
"http://vi.dbpedia.org/resource/B%C3%A1o_v%C3%A0_ph%C3%A1t_thanh%2C_truy%E1%BB%81n_h%C3%ACnh_Cao_B%E1%BA%B1ng","http://www.w3.org/2000/01/rdf-schema#label","Báo và phát thanh, truyền hình Cao Bằng"
"http://vi.dbpedia.org/resource/B%C3%B9i_Quang_D%C5%A9ng","http://www.w3.org/2000/01/rdf-schema#label","Bùi Quang Dũng"
"http://vi.dbpedia.org/resource/B%E1%BA%AFc_thu%E1%BB%99c","http://www.w3.org/2000/01/rdf-schema#label","Bắc thuộc"
"http://vi.dbpedia.org/resource/B%E1%BA%AFc_thu%E1%BB%99c","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Vietnam_under_Chinese_rule"
"http://vi.dbpedia.org/resource/B%E1%BB%93n_Man","http://www.w3.org/2000/01/rdf-schema#label","Bồn Man"
"http://vi.dbpedia.org/resource/B%E1%BB%93n_Man","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Muang_Phuan"
"http://vi.dbpedia.org/resource/BHD","http://www.w3.org/2000/01/rdf-schema#label","BHD"
"http://vi.dbpedia.org/resource/Big_C","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Company"
"http://vi.dbpedia.org/resource/Big_C","http://www.w3.org/2000/01/rdf-schema#label","Big C"
"http://vi.dbpedia.org/resource/Big_C","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Big_C"
"http://vi.dbpedia.org/resource/Big_C","http://dbpedia.org/ontology/founder","Central Group"
"http://vi.dbpedia.org/resource/Big_C","http://dbpedia.org/ontology/industry","Bán lẻ"
"http://vi.dbpedia.org/resource/Big_C","http://dbpedia.org/ontology/revenue","increase 118,177 triệu baht (''Fiscal year"
